# utc: 2026-08-25T20:35:38.237Z
# producer: ox-alpha CP-M1 / D-2 FULL LEDGER CORRUPTION AUDIT (gates 0-7b)
# witnesses: evidence/loop5/ledger-snap-pre6.json ; evidence/theme01/ledger-snap-pre7.json
# witness disagreement: NONE
# ledger sha256 before audit: f3d096fe25425bb30e7b9658135f8c7cce108916010c9bb091bc6ed085ce384c
# ledger sha256 after audit : 444bd248e83fe39549a63239cc2a4893e2c7af20005c84911e943fded64c2ace
#
# D-3 GUARD HOLE (why the oracle caught gate 4 but missed gate 5):
#   The oracle NEVER hashed reviewer-evaluated entries against a snapshot. Its only
#   whole-ledger anchor was the session-start known-good hash, consumed by the first
#   (8a) insertion and never re-establishable afterwards; later amendments ran with
#   JSON-validity plus local anchors only. Gate 4 surfaced by accident during a manual
#   grep while chasing G19's own-evidence check (which scopes to the submitted gate
#   alone); nothing scanned earlier gates, so Gate 5 survived silently. The defect is
#   therefore the missing global invariant - the single-entry corruption is its symptom.
# REPAIR: oracle g19/g124 now enforce every gate 0-7b evidence hash against
#   evidence/cpm1/ledger-snapshot-verified.json (captured immediately below, post-repair);
#   future sessions capture this snapshot at G1 BEFORE any mutation (Band-0 artifact).

gate | path | snapshot | current-at-audit | verdict
0 | docs/DECISIONS.md | bb911905c68b | bb911905c68b | MATCH
0 | docs/STOP-REPORT-REM-01.md | a04f25f006ac | a04f25f006ac | MATCH
0 | evidence/phase2-install.txt | 48366438e20f | 48366438e20f | MATCH
0 | docs/REM-01-STAGE-R1-REPORT.md | 45f46f69d042 | 45f46f69d042 | MATCH
1 | docs/DECISIONS.md | bb911905c68b | bb911905c68b | MATCH
1 | docs/DISCOVERY.md | c80b67a8ab80 | c80b67a8ab80 | MATCH
1 | docs/THEME-BASELINE.md | 0c84651b2479 | 0c84651b2479 | MATCH
1 | docs/ADR-001.md | a62e93126d04 | a62e93126d04 | MATCH
1 | docs/ADR-002.md | 1726d66d86ef | 1726d66d86ef | MATCH
1 | docs/ADR-003.md | 5ba2a47c354b | 5ba2a47c354b | MATCH
1 | docs/ADR-004.md | 4e18a35cc163 | 4e18a35cc163 | MATCH
1 | docs/STOP-REPORT-REM-01.md | a04f25f006ac | a04f25f006ac | MATCH
2 | docs/ADR-005-sow-install-and-electron-provisioning.md | 08f832941dd9 | 08f832941dd9 | MATCH
2 | shell/tools/install_sow.py | 422630f419fd | 422630f419fd | MATCH
2 | evidence/phase2-sow-install.txt | d9ab08ad6ab8 | d9ab08ad6ab8 | MATCH
2 | evidence/phase2-debate-verify.txt | 717acd114e89 | 717acd114e89 | MATCH
2 | evidence/phase2-install.txt | 48366438e20f | 48366438e20f | MATCH
2 | modules/sovereign/INSTALL-PROVENANCE.json | ea96af3fe4d7 | ea96af3fe4d7 | MATCH
2 | modules/debate/INSTALL-PROVENANCE.json | 025997032b8b | 025997032b8b | MATCH
2 | modules/sow/INSTALL-PROVENANCE.json | 7a6f8ab60ccd | 7a6f8ab60ccd | MATCH
2 | README.md | 783f413a17cc | 783f413a17cc | MATCH
2 | docs/REM-01-STAGE-R2-REPORT.md | 9fc6449fc0ad | 9fc6449fc0ad | MATCH
3 | evidence/manifests/manifest-diff-product-software.txt | f2104ad15d07 | f2104ad15d07 | MATCH
3 | evidence/manifests/manifest-diff-sow.txt | 6cf4081307f6 | 6cf4081307f6 | MATCH
3 | evidence/manifests/manifest-diff-distillery.txt | 3823e8ed6827 | 3823e8ed6827 | MATCH
3 | evidence/manifests/manifest-before-product-software.txt | a3335e702d7a | a3335e702d7a | MATCH
3 | evidence/manifests/manifest-after-product-software.txt | a3335e702d7a | a3335e702d7a | MATCH
3 | evidence/manifests/manifest-before-sow.txt | 4b0c2b9610c1 | 4b0c2b9610c1 | MATCH
3 | evidence/manifests/manifest-after-sow.txt | 4b0c2b9610c1 | 4b0c2b9610c1 | MATCH
3 | evidence/manifests/manifest-before-distillery.txt | cdbe99323a98 | cdbe99323a98 | MATCH
3 | evidence/manifests/manifest-after-distillery.txt | cdbe99323a98 | cdbe99323a98 | MATCH
3 | evidence/sow-git-before.body | b9ed2c0b2fc6 | b9ed2c0b2fc6 | MATCH
3 | evidence/sow-git-after.body | 847f864db9eb | 847f864db9eb | MATCH
3 | evidence/sow-git-after.meta.json | 58398800ddd1 | 58398800ddd1 | MATCH
3 | evidence/sow-git-body-diff.txt | a2d2fd7fceb9 | a2d2fd7fceb9 | MATCH
3 | evidence/sow-git-body-semantic.txt | 4997fbd835f1 | 4997fbd835f1 | MATCH
3 | docs/REM-01-STAGE-R2-REPORT.md | 9fc6449fc0ad | 9fc6449fc0ad | MATCH
4 | evidence/test-run.txt | c85779eba2b7 | c85779eba2b7 | MATCH
4 | shell/BUILD-MANIFEST.txt | 659ff9b635a2 | 659ff9b635a2 | MISMATCH->RESTORED -> restored 659ff9b635a22ddbdc9065c56ac5fbb277dcce25d3110354acb5e9134fed9f6d
4 | evidence/hardening/deps-proof.txt | 60df871d9583 | 60df871d9583 | MATCH
4 | evidence/hardening/fs-watch.txt | 8cf6bf34d34b | 8cf6bf34d34b | MATCH
4 | evidence/hardening/h1-listen.txt | aa6fedb66b1a | aa6fedb66b1a | MATCH
4 | evidence/hardening/h3-headers.txt | 5ed6d33d427b | 5ed6d33d427b | MATCH
4 | evidence/hardening/h4-dom.txt | b42fab08e721 | b42fab08e721 | MATCH
4 | evidence/hardening/h6-jobobject.txt | 6151ce886a24 | 6151ce886a24 | MATCH
4 | evidence/hardening/h8-sentinel.txt | a153255b0dc5 | a153255b0dc5 | MATCH
4 | evidence/hardening/sow-startup-test.txt | 50ca9748f184 | 50ca9748f184 | MATCH
4 | evidence/startup-tests/sow-20260821T052050.534Z.json | 7a6f7a3a165a | 7a6f7a3a165a | MATCH
4 | shell/tests/_harness.py | d0932963bbbe | d0932963bbbe | MATCH
4 | shell/tests/_fswatch.py | 579730f1125e | 579730f1125e | MATCH
4 | shell/tests/__init__.py | dc5387d70930 | dc5387d70930 | MATCH
4 | shell/tests/test_shell.py | d18892dcc8ce | d18892dcc8ce | MATCH
4 | shell/tests/test_paths.py | 4937463b90d5 | 4937463b90d5 | MATCH
4 | shell/tests/test_supervisor.py | e7dfa079d42e | e7dfa079d42e | MATCH
4 | shell/tests/test_states.py | 27e90af6c506 | 27e90af6c506 | MATCH
4 | shell/tests/test_hardening.py | fb3dac205c1c | fb3dac205c1c | MATCH
4 | shell/tests/test_redaction_surfaces.py | 911d859dbbeb | 911d859dbbeb | MATCH
4 | shell/tests/test_frontend.py | d6146e37ecb5 | d6146e37ecb5 | MATCH
4 | shell/tests/test_zz_evidence.py | 393de04b87d3 | 393de04b87d3 | MATCH
4 | shell/tests/fixtures/fixture_http.py | b52e0ed2664d | b52e0ed2664d | MATCH
4 | shell/tests/fixtures/fixture_tree.py | 93aa061962f8 | 93aa061962f8 | MATCH
4 | shell/tests/fixtures/fixture_leaf.py | 82b2dba7aba0 | 82b2dba7aba0 | MATCH
4 | shell/tests/fixtures/fixture_sleeper.py | b6bed87ad338 | b6bed87ad338 | MATCH
4 | shell/tests/fixtures/fixture_noisy.py | 39bd82fa8074 | 39bd82fa8074 | MATCH
4 | shell/tests/fixtures/crash_driver.py | 557f7e90e1aa | 557f7e90e1aa | MATCH
4 | shell/src/adapter.py | 5ee7f0cc2ccb | 5ee7f0cc2ccb | MATCH
4 | shell/src/supervisor.py | bb09c62b2388 | bb09c62b2388 | MATCH
4 | shell/src/server.py | 510c754859f8 | 510c754859f8 | MATCH
4 | shell/src/states.py | 4eb6c7535b64 | 4eb6c7535b64 | MATCH
4 | shell/src/startup_test.py | dfae2514e497 | dfae2514e497 | MATCH
4 | shell/src/probe.py | 607f3b76f90f | 607f3b76f90f | MATCH
4 | shell/src/redact.py | b200f17871bb | b200f17871bb | MATCH
4 | shell/src/logring.py | 522aa77f3bfe | 522aa77f3bfe | MATCH
4 | shell/src/__main__.py | b64930cd673c | b64930cd673c | MATCH
4 | shell/static/app.js | 861c54710fd3 | 861c54710fd3 | MATCH
4 | shell/static/index.html | 60fd37bb10eb | 60fd37bb10eb | MATCH
4 | shell/modules/schema.json | 2682bff8ac48 | 2682bff8ac48 | MATCH
4 | shell/modules/sow.json | 0d1f9a58f261 | 0d1f9a58f261 | MATCH
4 | docs/ADR-004.md | 4e18a35cc163 | 4e18a35cc163 | MATCH
4 | docs/REM-01-STAGE-R3-REPORT.md | 6ed1867552b0 | 6ed1867552b0 | MATCH
4 | docs/REM-01-STAGE-R3-ROUND2-REPORT.md | 0aad064398aa | 0aad064398aa | MATCH
4b | evidence/gate4b/precondition.txt | 208363a797da | 208363a797da | MATCH
4b | evidence/gate4b/test-run-before.txt | 7fa97f8c0e39 | 7fa97f8c0e39 | MATCH
4b | evidence/gate4b/h13-fails-before.txt | c69736a258a6 | c69736a258a6 | MATCH
